id,text,class
ENG_418, PNLT  OFRT ITMS ,LOAN
ENG_419, AKSP AL EML RK ,LOAN
ENG_420, 0R KST  INTR LN ,LOAN
ENG_421, NFL PLRS RK  WR KM  ST TM  ,SPORTS
ENG_422, SKKS KLFR TM ,SPORTS
ENG_423, MY MN MPKR ,SPORTS
ENG_424, SMBL LNKT  TMKR PRT  KRTN TMS NST ,SPORTS
ENG_425, SNK TP KN HT  BRLN ,SPORTS
ENG_426, R AKRB WNSP S ,TELECOMMUNICATION
ENG_427, TF TRNS UST FM ,TELECOMMUNICATION
ENG_428, TT TRNS RKPT USNK OPTK KM ,TELECOMMUNICATION
ENG_429, ATFN ISTN ,TELECOMMUNICATION
ENG_430, BNFT ATSL ,TELECOMMUNICATION
ENG_431,  EKSP INT  BST ,TOURISM
ENG_432, INT WR NRML SNFL APRL ENT ,TOURISM
ENG_433, TS TSTN BT BHMX XRT ,TOURISM
ENG_434, XNJ USRN ,TOURISM
ENG_435, AR AMBL ,TOURISM
ENG_436, N IL ,LOAN
ENG_437, APL  F KRNT LN ,LOAN
ENG_442, TS ES HL0 PLS KFR BNFT SFRS ILNS KNTR INJR 0R AKKT INT OTST INT ,INSURANCE
ENG_443, T MNT KXLS FKLT ,INSURANCE
ENG_444,  PL XR APRT EX  TK SP HM INSR PLS ,INSURANCE
ENG_445, KLM  N PTNT BL IMTT JTN PLS ,INSURANCE
ENG_446, TL NM ANML HS BLT WT ,GK
ENG_447, RFR KRS MKS KNTT WTR IN S IS ,GK
ENG_448, UN STNT  ,GK
ENG_449, N PPLR NN ST ,GK
ENG_450, TK APT KRR INTR TSTS KNSL SRFK ,CAREER
ENG_451, KRR KNSL LP M ,CAREER
ENG_452, ANS TF INTR KS ,CAREER
ENG_453, NT  EKT EKSM APL  EKT EKSM WL LTN KMN RT KRTR  EKT EKSM  ENK ,CAREER
ENG_454, AM BTX INST FNL R STTN  LK  ABT PK PRKS OFRT INT ,CAREER
ENG_455, IRKT MBL FR RL TKTN ,INDIAN
ENG_456, KT TTL TRNS AF NTR KRS ,INDIAN
ENG_457, PLN JRN USNK INTR RSRF ,INDIAN
ENG_458, TTKL BKNK ,INDIAN
ENG_459, WL KT NR ONK PMNT MT ,INDIAN
ENG_461, EKSP RKRT TPN ,TOURISM
ENG_462, INF PRFT RLBL ,TOURISM
ENG_463, KT N RKMN KT KS0S NR0 K ,TOURISM
ENG_464, LKK PTNT BRN ,TOURISM
ENG_465, TP PMNT M0T TLKM ,TELECOMMUNICATION
ENG_466, ATFN ISTN ,TELECOMMUNICATION
ENG_467, SPRT LN FR ATSL ,TELECOMMUNICATION
ENG_468, IXNJ FRM  BRTB TT RT  AN0R ,TELECOMMUNICATION
ENG_469, SPX RPRT RKFR ,TELECOMMUNICATION
ENG_470, HS ST PLR  KPTN  TF NL XMPN TMS ,SPORTS
ENG_471, MN TSKN FSTF SPTS TR HK RNK ,SPORTS
ENG_472, NKST KRKT T RLT KP KN B LT ,SPORTS
ENG_473, PT T KRT BT ,SPORTS
ENG_474, S BRN LR EFR BLT TST T KRKT ,SPORTS
ENG_475, PSBL  TFS TF KMPT PFR TFR STLT STR ETK ,INTERNAL
ENG_476, WN SLNT HTS SKTR INF HRT TRF ,INTERNAL
ENG_477, WN FNT HTX TRF KMPN ,INTERNAL
ENG_478, INKM SSTM HRT TRF INST ,INTERNAL
ENG_479, F TNT PK KPST TRF ,INTERNAL
ENG_480, AM JTN FRMT TTNT KMPL FRMT  ,INTERNAL
ENG_481, AM JTN 0 TSK TMJT FRMT  ,INTERNAL
ENG_482, SKS TRF JFN ERR KLT STRT UNT RKST FLR FKS  ,INTERNAL
ENG_483, PRSJ TSKN USB KMPT FN TN FT STRN STF ,INTERNAL
ENG_484, S BL HRT TRFS ,INTERNAL
ENG_485,  KB KLP JMPR STN ,INTERNAL
ENG_486, HPNS PX BTN ,INTERNAL
ENG_487, USB KBL KMS AKST HPNS BKP ,INTERNAL
ENG_488, SKS TRF SKS KNTR ,INTERNAL
ENG_489, WNT HRTR ENHN SK ERS FNK TRS ,INTERNAL
ENG_490, BLK TT ENKR RK MK APL SS ,INTERNAL
ENG_491, T PRSN ,PERSONALITY
ENG_492, PSBL IMPF PRSN ,PERSONALITY
ENG_493, LRNN ENKL IMPR PRSN ,PERSONALITY
ENG_494, NLJ  PRSN TF ,PERSONALITY
ENG_495, BS KRLS KR LKS PRSN MTR INTL ,PERSONALITY
ENG_496, PRSN PRSN ,PERSONALITY
ENG_497, TL FKTR TSKR HMN PRSN ,PERSONALITY
ENG_498, PRSN PRSN TMNX ,PERSONALITY
ENG_499, XLT  FTBK ,PERSONALITY
ENG_500, KNFT PRST ,PERSONALITY
ENG_501, KT RSP AL PLK ,RECIPES
ENG_502, WN HT MNK XTN TL  ,RECIPES
ENG_503, RSP KBH MNXR ,RECIPES
ENG_504,  SWT SR MNK XTN ,RECIPES
ENG_505, BHRW BHNT INKR ,RECIPES
ENG_506, BHRW BNKN ,RECIPES
ENG_507, RSML RSP PLSS ,RECIPES
ENG_508, RF LT ,RECIPES
ENG_509, KLKN ,RECIPES
ENG_510, JLB TPS PL ,RECIPES
ENG_512, PTN PRT ,RECIPES
ENG_513, LMN PLS XL PKL ,RECIPES
ENG_514, PRPR HT LMN PKL ,RECIPES
ENG_515, KK NT XTN ,RECIPES
ENG_516, KKNT XTN PRPR ,RECIPES
ENG_517, TL ES STPS KKNT XTN ,RECIPES
ENG_518,  MNT XTN ,RECIPES
ENG_519, TK BL MKSK PS ,RECIPES
ENG_520,  TKBL MT SSNN ,RECIPES
ENG_521, PL FRM KNTR FS ASTR ,VISA
ENG_522, AP FS ,VISA
ENG_523, TM FS AP ,VISA
ENG_524, NKK SRKS KP PSPT ,VISA
ENG_525, FT KP PS PRT RKRT KP ,VISA
ENG_526, INTN BS FS RKT ,VISA
ENG_527, RK INT ENTR USNK BSNS FS ,VISA
ENG_529, EKST INTN BSNS FS ,VISA
ENG_530, KNFR TRST FS STTN FS ,VISA
ENG_531, R  APL  FS ,VISA
ENG_532, STTN FS TMS ENTR KNTR ,VISA
ENG_533,  P FS XRJ ,VISA
ENG_534, APLK PRSN SBMT AP ,VISA
ENG_535, INTS PP ,VISA
ENG_536, STJ MNSN WNTR ,VISA
ENG_537, FM MSK TLH ,VISA
ENG_538, K PT INT ,VISA
ENG_539, NM INTS KPTL ,VISA
ENG_540, WTS INTS KRNS ,VISA
ENG_541, HNTL FTS KRFK ,WEB
ENG_542, TSN ST HST ELSH ,WEB
ENG_543, Y FLX ,WEB
ENG_544, AM ALT XNJS ST ON ,WEB
ENG_545, SMPL WB TMPL ,WEB
ENG_546,  TMN NM SKR ,WEB
ENG_547, PSBL KNK PST TMN ,WEB
ENG_548, FKST PST NM  ,WEB
ENG_549, EKSP TMN NMS ,WEB
ENG_550, AM ALT XNJ TMN PS WRT ,WEB
ENG_551, WTS HST NM ,WEB
ENG_552, WTS TMN LKN ,WEB
ENG_553,  RN TMN NM ,WEB
ENG_554, RK TMN NM ,WEB
ENG_555, PK TMN NM ,WEB
ENG_556, WTS ATRS ,WEB
ENG_557, WTS T RSL ,WEB
ENG_558, WTS KJ ASS ,WEB
ENG_559, KN JM TLNT SRFS ,WEB
ENG_560, WTS UR BSNS ML SRFS ,WEB
ENG_561, UR HSTN SRFK AFL INT USRS ,WEB
ENG_562, PMNT SKMS APLK ,WEB
ENG_563, APLN BKR PLN LTR ,WEB
ENG_564, WTS KJ AKSS ,WEB
ENG_565, US JF SKRP PJ ,WEB
ENG_566, KMPN TMN NM PP AKK ,WEB
ENG_567, Y KNTR PNL LNKS AKK ,WEB
ENG_568, WTS AMT TT TR PJ ,WEB
ENG_569, MNTN MSLF ST ST ,WEB
ENG_570, KK TK BLS HT TK SS ,RECIPES
ENG_571, PTT XP KK ,RECIPES
ENG_572, PPY STL TRT RS ,RECIPES
ENG_573, Y BK PS HT KRST ,RECIPES
ENG_574, Y SMBR TST ,RECIPES
ENG_575, RSM MSL ,RECIPES
ENG_576, TL ES STPS MNKL RSM ,RECIPES
ENG_577,  SMBR ,RECIPES
ENG_578, ES  PRP TK BL MKSK PS ,RECIPES
ENG_579, ELBR STPS  TKBL MT SSNN ,RECIPES
ENG_579, MNKL RSM RSP PL ,RECIPES
ENG_580, Y JM RSP KRN PS SKN SP ,RECIPES
ENG_581, JM RSP  PPY STL TRT RS ,RECIPES
ENG_582, NT BK PS HT KRST ,RECIPES
ENG_583,  MK SMBR MM ,RECIPES
ENG_584, RSM MSLS ,RECIPES
ENG_585, HS MNKL RSM PRPR ,RECIPES
ENG_586, SMBR RSP ,RECIPES
ENG_587, TKBL MKSK PS RSP ,RECIPES
ENG_588, PL TL  TKBL MT SSNN ,RECIPES
ENG_589, WN MNKL RSM RKP ,RECIPES
ENG_590, KRN P SKN SP M0T ,RECIPES
ENG_591, ENBL BLK TT ENKR HRTT ,INTERNAL
ENG_592, R  B HRTT BLK TT ENKR ,INTERNAL
ENG_594,  FRMT HRT TRF  MK ,INTERNAL
ENG_595, WNT KMPT KPST TRF ,INTERNAL
ENG_596, AM JTN MSK FRMT KMPL  ,INTERNAL
ENG_597, AM JTN MSK TSK TMJT FRMT ,INTERNAL
ENG_598, S SKS TRF JFN ERR KLT STRT UNT RKST FLR ,INTERNAL
ENG_599, RMF USB KMPT AFT STRN FLS ,INTERNAL
ENG_600, TNT BL HRT TRF ,INTERNAL
ENG_601, AKTF IRKT MBL ,INDIAN
ENG_602, FRNT ABT IRKT MBL ,INDIAN
ENG_603, T TKT KNSL KRKS ,INDIAN
ENG_604, FR TKT TLFR T XT PRFT KRR ,INDIAN
ENG_605, T TNT PLN JRN ATFN ,INDIAN
ENG_606, AKTF IRKT MBL ,INDIAN
ENG_607, TL FRNT ABT IRKT MBL ,INDIAN
ENGLISH_608, AM TX KMP SK STTN  MK KRR ARXL ,CAREER
ENGLISH_610, K KRKT TM TS BRN LR PL  ,SPORTS
ENGLISH_612, KRTT KRT INF IRKT MBL SF ,INDIAN
ENGLISH_613, KRR NTRK LNK ,CAREER
ENGLISH_614, FTR JB PRSP L KRTT ESP KFT JBS ,CAREER
ENGLISH_615, HPLK JNKR PRJ TFRN FML TR TN ,HEALTH
ENGLISH_616, TS HK RFR MN KLSP RTS ,SPORTS
ENGLISH_617, AM SRXN JB BNKS KFJB RLTT KRR KMPL BKS  EKSP RTS INTS LTT KMBT ASXT APRJ KRPR SRFS KMBT PRSN EKSK TL TT AM PRSN PKTP IR ,CAREER
ENGLISH_619, KT PT INSR RSTN KNT ,INSURANCE
ENGLISH_622, PLT AFTR OPTN NNMT STRM  ,CAREER
ENGLISH_623, LBR UNN PRFT KP INSR ,INSURANCE
ENGLISH_624, N BST TM ST EKSM ,CAREER
ENGLISH_625, 0 FRNT ATSL KNKX BSNL KNT ON ,TELECOMMUNICATION
ENGLISH_627, AM INFK IM TKNK ANTR TRKS NTTK FRL LT ,HEALTH
ENGLISH_628, FL FKSN PRKN KS FLS F HFTS RSLT ,HEALTH
ENGLISH_631, PLSM SRFK ,CAREER
ENGLISH_632, MN PNLT NTS ALNS AKSP BSNS PFT MTR INSR PLS ,INSURANCE
ENGLISH_633, TM LSST SKR OT ,SPORTS
ENGLISH_634, HRT ATK KNSR STRK KFRT L0 INSR PLS  ,INSURANCE
ENGLISH_636, KSTM OFKR ARPR ,CAREER
ENGLISH_637, INSR KMPN RSNT HL0 INSR PLS TS 0T MN ,INSURANCE
ENGLISH_638, PNS MN STLN N AM ,INSURANCE
ENGLISH_640, MNMM ANL INKM RKRT ELJB KRTK ILNS INSR  ,INSURANCE
ENGLISH_644, BSNL KNKX  ,TELECOMMUNICATION
ENGLISH_647, X BS BL LK TM WLT TSN OP KNTR   ,SPORTS
ENGLISH_650, X ST KNTR RKKN MKSK INTP ,SPORTS
ENGLISH_651, NT LF INSR ,INSURANCE
ENGLISH_652, X FML KLFR NK TK ,SPORTS
ENGLISH_653, ORKN PRTS FR PSTS RST ,SPORTS
ENGLISH_654, WRLT KRKT PLYR ,SPORTS
ENGLISH_655, TTLS KLFK PSXN ,CAREER
ENGLISH_656, KRJS USNK WTNK RL STN ,INDIAN
ENGLISH_657, ST PM INT ,GK
ENGLISH_658, KLMT RKRT TSKN ,SPORTS
ENGLISH_662, EMPL ALWT XNJ HL0 BNFT PRKR LSR BNFT ,INSURANCE
ENGLISH_663, ENST  SWM ,GK
ENGLISH_664, XT INFS KX PLS N SFNK RT BTR ,INSURANCE
ENGLISH_666, AT PLS TTLS A0 BNK WBST ,INSURANCE
ENGLISH_667, KLMS ST YR WN TSKN PLS ,INSURANCE
ENGLISH_668, BLT TNXN INKR RSK HF INFK ,HEALTH
ENGLISH_669, XNL TNL ERP OPN ,GK
ENGLISH_670, MRJR 0XR PM ,GK
ENGLISH_671, WTS STRT SLR RNJ PRFT TNTL PRKT MSSP ,HEALTH
ENGLISH_673, ST FT ,INSURANCE
ENGLISH_674, MTKX PRSK RTS KT MN ,SPORTS
ENGLISH_675, PLS OLT AT XLTR ,INSURANCE
ENGLISH_676, EMPL PSXL ,CAREER
ENGLISH_678, KNTX XT ABT ,INSURANCE
ENGLISH_679, 0 KNK ISRL XRS NM HRMN MLFL LTRR XRKT ,SPORTS
ENGLISH_680, EP HSRT AR PLTN AR ,HEALTH
ENGLISH_681, BLK KS PN HF ,GK
ENGLISH_682, KFT LF INSN SKMS P TFTN ,INSURANCE
ENGLISH_683, PNS KR RTN ,INSURANCE
ENGLISH_684, T KRT BT ,SPORTS
ENGLISH_685, ST KFNR JNL FR INT ,GK
ENGLISH_686, INTN PM RSN KMPL TRM ,GK
ENGLISH_687, OTFT NXNL INTL TL SRKL  ,SPORTS
ENGLISH_689, X WRLT LRJT TMNT PRTS KNTR ,GK
ENGLISH_690, B LRF XNS BKMN STPS ETNK RYL JL TS ,SPORTS
ENGLISH_692, X ST KNTR HST MTRN OLMP ,GK
ENGLISH_695, INSR BRKR INSR AJNT ,INSURANCE
ENGLISH_696, WN MK SLP ,HEALTH
ENG_55x, NTNL FLR ITL ,GK
ENG_56x, TS XNS NTNL FLR ,GK
ENG_57x, R PRMN SKRT SRK LKTT ,GK
ENG_58x, TS KTW  KLF IRN ,GK
ENG_59x, R T INTS RFLT BN ,GK
ENG_60x, N WRLT ENFR T SLB ,GK
ENG_63x, X KNTR RLTS LRKS TN PRTK ,GK
ENG_64x, X KNTR KLT LNT RSNK SN ,GK
ENG_78x, UPLN TNLN FRKS ,TELECOMMUNICATION
ENG_89x, APL BSNL KN ,TELECOMMUNICATION
ENG_96x, PNS IRKT LKT ,INDIAN
ENG_99x, MK PMNT ETKT ,INDIAN
ENG_103x, ATFT ISTN ,TELECOMMUNICATION
ENG_104x, NT SPRT LN ISTN ,TELECOMMUNICATION
ENG_105x,  KNJ M  TT RT  AN0R ,TELECOMMUNICATION
ENG_135x, KT BSNL KN ,TELECOMMUNICATION
ENG_136x, LP KTNK BSNL KNKS ,TELECOMMUNICATION
ENG_137x, KT BSNL KNKS ,TELECOMMUNICATION
ENG_138x, PL TL  KT BSNL KNKT ,TELECOMMUNICATION
ENG_139x, PRKT  APL BSNL KNKK ,TELECOMMUNICATION
ENG_140x, PSN  TLKM KN XFT HSS ,TELECOMMUNICATION
ENG_141x, MN UPLT ,TELECOMMUNICATION
ENG_142x, MNT UPLT ,TELECOMMUNICATION
ENG_163x, NTT FT TRNS TF LNK TSTN ,TELECOMMUNICATION
ENG_164x, X SKNL TKTN ENKT ,TELECOMMUNICATION
ENG_165x, ATSL FSTR 0N TL KPNS ,TELECOMMUNICATION
ENG_170x, TS MN EKSP JMK ,GK
ENG_171x, X WT ELFN ,GK
ENG_172x, S KL ,GK
ENG_173x, X KNTR IRN SN NK TL T ,GK
ENG_216x, ST INTN  FST SPS ,GK
ENG_242x, X UNF TPT FRBS BLNR LST ,GK
ENG_244x, S ST INTN NF FS ATMR ,GK
ENG_255x, AKTF IRKT ,INDIAN
ENG_256x, TL PL ABT IRKT MBL ,INDIAN
ENG_270x, LSR STML K ,TELECOMMUNICATION
ENG_271x, TS LN ST RK FR K AFT TT ,TELECOMMUNICATION
ENG_272x, FM BRTK PRFR FR MSKT TRNS ,TELECOMMUNICATION
ENG_274x, E0RN ,TELECOMMUNICATION
ENG_295x, X ANML S KT BLT ,GK
ENG_296x, X LNKS RFR RLT ,GK
ENG_297x, X ST MTN RLT ,GK
ENG_298x, X LRKS TSRT RLT ,GK
ENG_299x, TS NM LRKS OKRN RLT ,GK
ENG_310x, ATFT USK IRKT MBL ,INDIAN
ENG_311x, SRFS RLTT IRKT MBL ,INDIAN
ENG_312x, STPS USNK IRKT MBL ,INDIAN
ENG_313x, BK TKTS USNK IRKT MBL ,INDIAN
ENG_314x, PSBL KNKL TKTS USNK IRKT MBL ,INDIAN
ENG_325x, HT TLKM PRFS PLSS ,TELECOMMUNICATION
ENG_326x, SRFS PRFT HT TLKM ,TELECOMMUNICATION
ENG_327x, MSTR KNTR FSLT ,TELECOMMUNICATION
ENG_328x, TS TF BTN KRKT FRK KRTK ANKL ,TELECOMMUNICATION
ENG_329x, SPX RPRT RKFR ,TELECOMMUNICATION
ENG_351x, BTS M ,GK
ENG_352x, X KNTR S LRKS LNT ,GK
ENG_353x, K MSLM KNKT KRL ,GK
ENG_365x, MN ITKT STR IRKT ,INDIAN
ENG_366x, XT SNX IRKT ,INDIAN
ENG_367x, AKTF IRKT ,INDIAN
ENG_369x, KRTT KRT INF UST SF IRKT MBL ,INDIAN
ENG_380x, TSTF RLT SPS ,TELECOMMUNICATION
ENG_383x, BRTK TF SKNL RNKS ,TELECOMMUNICATION
ENG_384x, RKRT FR TPLK KMNK USNK  WRR SRKT ,TELECOMMUNICATION
ENG_391x, PNS LS MB ,INDIAN
ENG_392x, IRKT MBL ,INDIAN
ENG_401x, X BKST TSRT RLT ,GK
ENG_402x, TS LNK0 ENK KNL ,GK
ENG_403x, TS UNTT NTNS STNT  ,GK
ENG_404x, INFN LT BLB ,GK
ENG_405x, X LNKS RFR RLT ,GK
ENG_426x, R KT AKRB ,TELECOMMUNICATION
ENG_427x, TF TRNS US AM FRK MTLT ,TELECOMMUNICATION
ENG_428x, TS TT TRNS RKPT TK PLS USNK OPTK KM ,TELECOMMUNICATION
ENG_429x, ATFT ISTN ,TELECOMMUNICATION
ENG_430x, BNFT ATSL ,TELECOMMUNICATION
ENG_446x, 0R ANML 0T S WT BLT YS TL NM ,GK
ENG_447x, X RFR KRS MKS AMT TR S ,GK
ENG_448x, TS FLFR UN ,GK
ENG_449x, NK PPLR ST OF ,GK
ENG_455x, IRKT  RL TKTK ,INDIAN
ENG_459x, N NR AFT MKK PMNT ,INDIAN
ENG_465x, TP PMNT M0S TLKM ,TELECOMMUNICATION
ENG_466x, 0R ATFT USNK ISTN ,TELECOMMUNICATION
ENG_467x, NT TTKT LN ATSL ,TELECOMMUNICATION
ENG_468x, PS KNJ M  TT PLN AN0R BRTB ,TELECOMMUNICATION
ENG_469x, SPX JNRT RKFR ,TELECOMMUNICATION
ENGLISH_657x, NM FST PM INT ,GK
ENGLISH_685x, ST JNRL FR INT ,GK
ENGLISH_686x, S ST INTN PM  RSN 0T KMPL TRM ,GK
ENGLISH_689x, X KNTR PRTK LRKS AMT TMNT RLT ,GK
ENGLISH_692x, X KNTR ST HSTT MTRN OLMP ,GK
